date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-22,18,0,0,18,18,False,1,0,2,0,60,False,3,0,0,55,0,False,18,0,18,0,0,False,18,0,0,0,0,False,18,0,0,0,0,False,8,0,0,0,13,False,14,0,29,0,0,False,18,0,0,0,18,False,18,0,0,0,0,False,18,0,0,0,0,False,18,0,0,0,0,False,4,0,0,39,0,False,18,0,0,0,0,False,18,0,0,0,0,False,18,0,0,0,0,False,14,35,0,0,14,False,18,0,0,0,0,False,3,46,0,0,False
2007-01-23,19,0,0,19,0,False,1,0,0,1,60,False,3,0,10,74,3,False,19,0,19,0,0,False,19,0,0,19,0,False,19,19,0,0,0,False,8,0,0,0,21,False,15,0,44,0,0,False,19,0,19,0,19,False,19,0,0,0,19,False,19,0,18,0,0,False,19,0,0,0,0,False,4,0,0,43,0,False,19,0,0,0,0,False,19,0,0,0,0,False,19,19,19,0,0,False,14,28,0,0,14,False,19,0,0,0,0,False,3,24,0,0,False
2007-01-24,38,0,0,38,19,False,2,0,2,0,65,False,7,0,3,75,0,False,38,0,0,0,0,False,38,0,0,0,38,False,38,38,0,0,0,False,17,0,0,0,26,False,30,15,45,0,0,False,38,0,0,0,19,False,38,0,0,0,0,False,38,0,19,0,19,False,38,0,0,0,0,False,7,0,0,42,0,False,38,0,19,0,0,False,38,0,0,0,0,False,38,0,19,19,0,False,29,66,29,0,15,False,38,0,0,0,0,False,6,32,0,0,False
2007-01-25,0,0,0,0,20,False,4,0,2,0,55,False,0,0,3,31,0,False,0,0,38,0,0,False,0,0,0,38,20,False,0,48,19,0,0,False,0,0,0,0,35,False,45,0,0,0,0,False,0,0,0,0,19,False,0,0,0,0,0,False,0,0,0,0,0,False,57,0,0,0,0,False,0,0,0,24,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,59,0,0,0,False,0,0,0,0,0,False,0,23,0,0,False
2007-01-26,40,0,0,20,0,False,1,0,3,0,55,False,7,0,3,59,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,20,0,0,0,False,18,0,0,0,46,False,16,0,32,0,0,False,40,0,20,0,30,False,40,0,0,0,0,False,40,0,0,0,0,False,30,0,0,0,0,False,8,4,0,40,0,False,40,0,0,0,0,False,40,20,0,0,0,False,40,0,20,20,0,False,31,54,0,0,15,False,40,0,0,0,0,False,6,23,0,0,False
2007-01-27,0,0,0,0,0,False,0,0,4,0,52,False,0,0,0,51,0,False,0,0,0,0,0,False,0,0,0,0,33,False,0,50,33,0,0,False,0,0,0,0,15,False,0,26,39,0,0,False,0,0,0,0,33,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,25,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,76,0,0,25,False,0,0,0,0,0,False,0,11,0,0,False
2007-01-28,0,0,0,0,0,False,0,0,0,0,48,False,0,0,5,55,0,False,0,0,0,0,0,False,0,0,0,32,32,False,0,32,0,0,0,False,0,0,0,0,43,False,0,50,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,0,0,0,0,0,False,0,6,0,52,0,False,0,32,0,0,0,False,0,0,0,0,0,False,0,32,0,0,0,False,0,24,0,0,0,False,0,0,0,0,0,False,0,18,0,0,False
2007-01-29,0,0,0,18,0,False,2,0,1,0,67,False,0,3,3,57,0,False,0,0,18,0,0,False,0,0,0,0,0,False,0,28,0,0,0,False,0,0,0,0,21,False,29,0,44,15,0,False,0,0,0,0,18,False,0,0,0,0,0,False,0,0,0,0,0,False,37,0,0,0,0,False,0,0,0,25,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,42,0,0,21,False,0,0,0,0,0,False,0,18,0,0,False
2007-01-30,0,0,0,0,0,False,0,0,0,0,49,False,0,0,5,79,0,False,0,19,28,0,0,False,0,0,0,18,37,False,0,28,18,19,0,False,0,0,0,0,13,False,0,29,14,14,0,False,0,0,0,0,19,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,30,0,False,0,0,18,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,42,0,0,14,False,0,0,0,0,0,False,0,30,0,0,False
2007-01-31,0,0,0,19,0,False,0,0,2,0,63,False,0,3,3,61,0,False,0,0,0,0,0,False,0,0,19,0,0,False,0,19,0,0,0,False,0,0,0,0,39,False,0,0,0,0,0,False,0,0,0,0,19,False,0,19,0,0,0,False,0,0,19,0,0,False,0,0,0,0,0,False,0,0,0,31,0,False,0,0,0,0,0,False,0,19,0,0,0,False,0,0,19,0,0,False,0,51,0,0,0,False,0,0,0,0,0,False,0,38,0,0,False
