date,ozone,blue,clothes,love,shoes,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2007-01-23,2,64,13,52,29,False,37,0,0,0,0,False,2,0,1,0,61,False,7,0,3,59,0,False,59,0,30,0,0,False,35,0,0,0,0,False,21,35,42,0,0,False,11,0,0,0,37,False,31,16,31,16,0,False,40,0,0,0,30,False,26,0,0,0,0,False,26,0,0,0,0,False,27,0,0,0,0,False,6,0,0,38,0,False,48,0,0,0,0,False,48,0,0,0,0,False,48,0,0,0,0,False,14,33,0,0,9,False,26,0,0,0,0,False,3,12,0,0,False
2007-01-24,1,63,11,59,27,False,25,0,0,0,25,False,1,0,2,0,58,False,5,0,3,45,0,False,44,0,29,0,0,False,27,0,26,26,26,False,14,43,0,0,0,False,21,0,0,0,43,False,24,16,63,0,0,False,30,0,0,0,20,False,53,0,0,0,26,False,53,0,0,0,0,False,27,0,0,0,0,False,4,0,0,57,0,False,32,0,0,0,0,False,32,0,0,0,0,False,32,0,0,32,0,False,9,19,0,10,10,False,53,0,0,0,0,False,2,19,0,0,False
2007-01-25,3,73,8,46,34,False,51,0,0,0,0,False,2,0,2,1,61,False,7,0,7,61,0,False,60,30,0,0,0,False,45,0,0,0,53,False,29,29,0,0,0,False,11,0,0,0,49,False,32,0,16,0,0,False,41,0,0,0,61,False,27,26,0,0,0,False,27,0,0,0,0,False,27,0,0,0,0,False,9,0,0,60,0,False,65,0,0,0,0,False,65,0,0,0,0,False,65,0,0,0,0,False,19,19,19,0,19,False,27,0,0,0,0,False,5,22,0,0,False
2007-01-26,0,63,5,52,37,False,0,0,0,0,0,False,0,0,1,0,64,False,4,0,7,83,0,False,31,0,31,0,0,False,0,0,0,0,28,False,0,0,15,0,0,False,11,0,0,0,63,False,17,50,17,0,0,False,21,0,0,0,21,False,28,0,0,0,0,False,28,0,0,0,0,False,0,0,0,0,0,False,0,0,0,42,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,30,0,0,10,False,28,0,0,0,0,False,0,21,0,0,False
2007-01-27,2,56,16,63,39,False,38,0,0,0,0,False,2,0,2,0,56,False,5,0,0,95,0,False,45,0,0,0,0,False,41,0,0,0,0,False,22,22,0,0,0,False,16,0,0,0,81,False,24,0,72,0,0,False,31,0,0,0,31,False,40,0,0,0,0,False,40,0,0,0,0,False,41,0,0,0,0,False,7,0,0,55,0,False,49,0,48,0,0,False,49,0,0,0,0,False,49,49,0,0,0,False,15,22,0,15,43,False,40,0,0,0,0,False,3,7,0,0,False
2007-01-28,2,70,11,81,51,False,39,0,0,0,0,False,2,0,3,0,70,False,5,5,0,62,0,False,46,0,46,0,0,False,41,0,0,0,40,False,22,22,0,0,0,False,16,0,0,0,16,False,24,49,0,0,0,False,31,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,41,0,0,0,0,False,7,0,0,78,0,False,50,0,0,0,0,False,50,0,0,0,0,False,50,0,0,0,0,False,15,58,0,0,0,False,40,0,0,0,0,False,4,12,0,0,False
2007-01-29,3,83,7,53,22,False,0,0,0,25,51,False,0,0,2,0,65,False,0,0,0,85,0,False,0,0,0,0,0,False,55,0,0,0,26,False,0,14,0,0,0,False,0,0,0,0,27,False,0,16,70,0,0,False,0,0,0,0,30,False,0,0,0,0,0,False,0,0,0,0,0,False,55,0,0,0,0,False,9,0,0,62,0,False,67,0,0,0,0,False,67,0,0,0,32,False,67,0,0,32,0,False,0,33,10,0,14,False,0,0,0,0,0,False,0,22,0,0,False
2007-01-30,1,68,13,57,34,False,25,0,0,25,0,False,1,1,4,0,56,False,3,0,3,67,0,False,29,29,0,0,0,False,26,0,0,26,26,False,14,14,14,0,0,False,11,0,0,0,10,False,16,0,30,16,0,False,20,0,20,0,0,False,26,0,0,0,0,False,26,0,0,0,0,False,26,0,0,0,0,False,4,0,0,52,0,False,31,0,0,0,0,False,31,0,0,0,0,False,31,0,31,31,0,False,9,9,0,0,9,False,26,0,0,0,0,False,2,20,0,0,False
2007-01-31,0,61,9,65,23,False,25,0,0,0,0,False,1,0,3,0,59,False,0,0,5,58,0,False,0,0,88,0,0,False,26,0,0,26,26,False,14,21,0,0,0,False,11,0,0,0,32,False,0,0,47,16,0,False,0,0,20,0,20,False,26,0,0,0,0,False,26,0,26,0,0,False,26,0,0,0,0,False,0,4,0,57,0,False,0,0,32,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,9,38,0,0,14,False,26,0,0,0,0,False,2,19,0,0,False
2007-02-01,0,46,10,62,30,False,0,0,0,25,0,False,0,0,1,0,42,False,0,0,3,100,3,False,0,0,30,0,0,False,0,0,0,26,27,False,0,36,0,0,0,False,0,0,0,0,27,False,0,16,32,0,0,False,0,0,0,0,41,False,0,26,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,43,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,0,53,0,0,10,False,0,0,26,0,0,False,0,19,0,0,False
