date,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial,ozone,air pollutant,air pollution alert,air pollution,arrhythmia,isPartial,ozone,asthma attack,asthma,black carbon,blue,isPartial,ozone,bronchiolitis,bronchitis,brown,brownish,isPartial,ozone,cardiovascular disease,chest pain,chest tightness,childhood asthma,isPartial,ozone,chronic obstructive pulmonary disease,code orange,code red,COPD,isPartial,ozone,cough,coughing,difficulty breathing,elemental carbon,isPartial,ozone,fine inhalable particles,fine particles,fine particulates,grey,isPartial,ozone,haze,headache,heart murmur,industrial pollution,isPartial,ozone,inhaler use,inhaler,irregular heartbeat,lung cancer,isPartial,ozone,lung disease,lung irritation,n02,nitrogen dioxide,isPartial,ozone,nitrogen oxides,no2,O3,organic carbon,isPartial,ozone,oxides of nitrogen,traffic emission,particle pollution,particulate matter pollution,isPartial,ozone,particulate matter,pediatric asthma,pink,pm2.5,isPartial,ozone,pm5,power plants,premature death,rapid breathing,isPartial,ozone,Rapid heart rate,rapid pulse,reddish-brown,respiratory illness,isPartial,ozone,respiratory infection,shortness of breath,smog,smoggy,isPartial,ozone,smoke,snoring,soot,sulfate,isPartial,ozone,tailpipe,throat irritation,traffic emission,traffic exposure,isPartial,ozone,traffic,wheezing,wildfires,isPartial
2012-12-21,33,0,0,0,0,False,1,0,1,0,47,False,1,0,1,49,0,False,20,0,78,0,0,False,19,0,0,19,19,False,9,42,23,0,0,False,3,0,0,0,49,False,11,21,32,0,0,False,22,0,0,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,2,0,0,67,0,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,33,0,False,4,50,4,4,8,False,33,0,0,0,0,False,3,88,0,0,False,40,4,0,4,4,False,1,0,1,0,45,False,2,0,3,70,0,False,40,4,37,4,0,False,50,0,9,14,24,False,15,64,14,2,0,False,4,0,0,0,54,False,25,35,48,4,0,False,40,0,9,4,35,False,40,4,0,0,4,False,50,0,9,0,0,False,40,0,0,0,0,False,2,0,0,48,0,False,40,0,9,0,4,False,50,0,5,0,0,False,40,4,9,13,0,False,10,73,4,1,7,False,40,0,0,0,0,False,2,20,0,0,False
2012-12-22,40,0,0,0,0,False,1,0,1,0,41,False,1,0,2,55,0,False,24,0,25,0,0,False,23,0,0,23,23,False,11,58,17,0,0,False,4,0,0,0,52,False,13,26,33,0,0,False,27,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,3,0,0,66,0,False,40,0,0,0,0,False,40,0,0,0,0,False,40,0,0,0,0,False,5,35,5,0,5,False,40,0,0,0,0,False,4,74,0,0,False,41,0,0,5,10,False,1,0,1,0,46,False,2,0,2,73,0,False,41,5,39,10,0,False,42,0,14,19,27,False,16,61,27,0,0,False,4,0,0,0,59,False,26,25,62,5,0,False,41,0,5,0,23,False,41,5,0,0,0,False,42,0,8,6,0,False,41,0,0,0,0,False,2,0,0,50,0,False,41,0,5,0,0,False,42,0,0,0,0,False,41,10,8,5,0,False,10,84,3,3,3,False,41,0,0,0,0,False,2,19,0,0,False
2012-12-23,41,0,0,0,0,False,1,0,1,0,54,False,1,1,4,61,0,False,24,0,0,0,0,False,23,0,0,0,23,False,12,59,18,12,0,False,4,0,0,0,49,False,13,13,53,0,0,False,27,0,0,0,27,False,41,0,0,0,0,False,41,0,0,0,0,False,41,0,0,0,0,False,3,0,0,86,0,False,41,0,41,0,0,False,41,0,0,0,0,False,41,0,0,41,0,False,5,77,0,0,10,False,41,0,0,0,0,False,4,15,0,0,False,26,0,0,0,0,False,1,0,0,0,44,False,1,0,4,75,0,False,26,0,50,8,0,False,45,0,8,17,31,False,10,72,22,0,0,False,3,0,0,0,58,False,17,23,52,0,0,False,26,0,18,5,24,False,26,10,0,0,0,False,45,6,11,0,0,False,26,0,0,0,0,False,2,0,0,60,0,False,26,0,5,0,0,False,45,6,0,0,0,False,26,8,0,10,0,False,7,87,9,1,3,False,26,5,0,0,0,False,1,13,0,0,False
2012-12-24,0,0,0,0,0,False,0,0,1,0,52,False,0,0,4,63,0,False,0,0,23,0,0,False,0,0,0,0,44,False,0,39,22,0,0,False,0,0,0,0,51,False,0,25,31,0,0,False,0,0,26,52,64,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,68,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,39,0,0,False,0,61,9,0,9,False,0,0,0,0,0,False,0,37,4,0,False,43,0,0,5,5,False,1,0,1,0,46,False,2,0,4,73,0,False,43,5,28,0,0,False,38,0,8,30,22,False,16,68,27,2,0,False,5,0,0,0,53,False,27,26,55,3,0,False,43,5,15,5,23,False,43,5,0,0,0,False,38,0,0,5,5,False,43,0,0,0,0,False,3,0,0,51,0,False,43,0,0,0,0,False,38,5,5,0,0,False,43,10,5,5,0,False,11,86,3,0,5,False,43,0,0,0,0,False,2,13,1,0,False
2012-12-25,43,0,0,0,0,False,1,0,1,0,42,False,1,0,3,68,1,False,26,0,26,0,0,False,24,0,0,24,24,False,12,79,0,0,0,False,4,0,0,0,39,False,14,14,34,14,0,False,28,0,0,28,29,False,43,43,0,0,0,False,43,0,0,0,0,False,43,0,0,0,0,False,3,0,0,93,0,False,43,0,43,0,0,False,43,0,0,0,0,False,43,0,0,0,0,False,5,65,0,0,10,False,43,0,0,0,0,False,4,39,9,0,False,41,0,0,0,6,False,1,0,1,0,43,False,2,0,2,84,0,False,41,0,24,12,0,False,35,0,6,19,19,False,16,52,21,2,0,False,4,0,0,0,56,False,26,37,79,4,0,False,41,0,29,6,15,False,41,6,0,0,0,False,35,0,0,0,0,False,41,0,0,0,0,False,2,0,0,52,0,False,41,0,0,0,0,False,35,6,0,0,0,False,41,24,9,6,0,False,10,74,3,1,4,False,41,0,0,0,0,False,2,12,0,0,False
2012-12-26,34,0,0,0,0,False,1,0,1,1,48,False,1,0,3,58,1,False,21,0,62,0,0,False,20,0,0,39,29,False,10,83,29,0,0,False,3,0,0,0,51,False,11,11,28,11,0,False,23,0,0,0,46,False,34,34,0,0,0,False,34,0,0,0,0,False,34,0,0,0,0,False,2,0,0,71,0,False,34,0,0,0,0,False,34,0,0,0,0,False,34,34,69,0,0,False,4,42,0,0,8,False,34,0,0,0,0,False,3,68,3,0,False,38,0,0,7,9,False,1,0,1,0,47,False,2,0,4,74,0,False,38,5,52,9,0,False,33,5,5,15,25,False,14,80,20,4,0,False,4,0,0,0,55,False,24,33,44,6,0,False,38,5,21,0,19,False,38,5,0,0,5,False,33,0,5,0,0,False,38,0,0,0,0,False,2,0,0,53,0,False,38,0,0,5,0,False,33,0,0,0,5,False,38,9,7,5,0,False,9,67,7,0,7,False,38,5,5,0,0,False,2,31,0,0,False
2012-12-27,32,0,0,0,48,False,1,0,2,0,53,False,1,0,4,61,0,False,19,0,29,0,0,False,18,0,0,37,18,False,9,36,9,0,0,False,3,0,0,0,42,False,10,10,15,0,0,False,21,0,21,0,21,False,32,0,0,0,0,False,32,0,0,0,0,False,32,0,0,0,0,False,2,0,0,70,0,False,32,0,64,0,0,False,32,0,0,0,0,False,32,63,0,0,0,False,4,37,8,0,8,False,32,0,0,0,0,False,3,49,3,0,False,31,0,0,4,9,False,1,0,1,0,46,False,1,0,5,71,0,False,31,4,44,13,0,False,53,0,9,33,31,False,12,78,21,2,0,False,3,0,0,0,58,False,20,28,73,7,0,False,31,4,16,7,31,False,31,11,0,0,4,False,53,0,0,0,5,False,31,0,0,0,0,False,2,0,0,48,0,False,31,0,4,4,4,False,53,0,0,0,0,False,31,18,22,7,0,False,8,61,1,1,6,False,31,0,0,0,0,False,1,24,1,0,False
2012-12-28,33,0,0,0,32,False,1,0,2,0,46,False,1,1,3,60,0,False,19,0,39,20,0,False,19,0,18,36,18,False,9,41,37,0,0,False,3,0,0,0,47,False,10,31,47,0,0,False,22,0,0,0,32,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,2,0,0,65,2,False,33,0,0,0,0,False,33,0,0,0,0,False,33,32,32,0,0,False,4,67,6,0,6,False,33,0,0,0,0,False,3,56,0,0,False,54,0,0,0,9,False,1,0,1,0,47,False,3,0,5,77,1,False,54,0,61,0,0,False,59,0,10,12,17,False,20,75,20,3,0,False,6,0,0,0,55,False,34,27,63,9,0,False,54,0,4,0,25,False,54,9,0,0,0,False,59,0,5,0,0,False,54,0,0,0,0,False,3,0,0,50,0,False,54,0,5,0,0,False,59,0,0,0,0,False,54,16,11,9,0,False,13,75,6,0,7,False,54,4,4,0,0,False,2,24,1,0,False
2012-12-29,38,0,0,0,38,False,1,0,3,0,45,False,1,0,1,65,0,False,22,0,34,0,0,False,21,0,0,0,22,False,11,75,16,0,0,False,3,0,0,0,51,False,12,12,49,12,0,False,25,0,0,0,50,False,38,0,0,0,0,False,38,0,0,0,0,False,38,0,0,0,0,False,3,0,0,63,0,False,38,0,0,0,0,False,38,0,0,0,0,False,38,57,0,0,0,False,5,39,0,0,0,False,38,0,0,0,0,False,4,34,0,0,False,70,0,0,5,7,False,1,0,1,0,48,False,3,0,4,67,0,False,70,5,42,10,5,False,49,0,5,13,16,False,26,89,29,2,0,False,7,0,0,0,53,False,44,27,71,6,0,False,70,5,25,5,27,False,70,0,0,0,0,False,49,0,5,5,5,False,70,0,0,0,0,False,4,0,0,49,0,False,70,0,5,0,0,False,49,5,0,0,0,False,70,10,7,10,0,False,17,75,7,2,7,False,70,0,0,0,0,False,3,17,0,0,False
2012-12-30,38,0,0,0,0,False,1,0,2,1,43,False,1,0,6,67,0,False,23,23,34,23,0,False,22,0,0,33,22,False,11,49,33,0,0,False,3,0,0,0,52,False,12,18,37,0,0,False,25,0,0,0,25,False,38,0,0,0,0,False,38,0,38,0,0,False,38,0,0,0,0,False,3,0,0,72,0,False,38,0,38,0,38,False,38,0,0,0,0,False,38,0,0,0,0,False,5,58,0,0,0,False,38,0,0,0,0,False,4,15,0,0,False,48,0,0,5,8,False,1,0,1,0,48,False,2,0,4,78,0,False,48,5,38,5,5,False,65,0,10,24,21,False,18,91,24,2,0,False,5,0,0,0,59,False,30,24,73,8,0,False,48,0,10,5,12,False,48,5,0,0,0,False,65,0,5,5,0,False,48,0,0,0,0,False,3,0,0,58,0,False,48,0,0,0,0,False,65,0,0,0,0,False,48,5,8,8,0,False,12,83,6,3,7,False,48,5,0,0,0,False,2,13,0,0,False
2012-12-31,33,0,0,0,49,False,1,0,1,0,49,False,1,0,3,71,2,False,20,20,39,0,0,False,19,0,0,19,19,False,9,94,28,0,0,False,3,0,0,0,40,False,11,42,42,0,0,False,22,0,22,0,22,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,0,0,0,False,2,0,0,80,0,False,33,0,0,0,0,False,33,0,0,0,0,False,33,0,33,0,0,False,4,24,6,4,0,False,33,0,0,0,0,False,3,35,10,0,False,41,0,0,0,0,False,1,0,1,0,48,False,2,0,5,66,0,False,41,5,46,5,0,False,42,0,10,17,15,False,15,77,27,2,0,False,4,0,0,0,54,False,26,29,57,3,0,False,41,0,5,5,27,False,41,0,0,0,0,False,42,0,5,5,5,False,41,0,0,0,0,False,2,0,0,46,0,False,41,0,9,0,0,False,42,0,0,0,0,False,41,18,5,11,0,False,10,99,6,2,5,False,41,0,0,0,0,False,2,15,0,0,False
2013-01-01,0,0,0,0,0,False,0,2,3,0,66,False,0,0,6,92,2,False,0,0,22,0,0,False,0,0,0,30,30,False,0,20,20,0,0,False,0,0,0,0,97,False,0,15,82,0,0,False,0,0,0,0,63,False,0,36,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,85,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,65,4,4,4,False,0,0,0,0,0,False,0,20,0,0,False,41,0,0,4,4,False,2,0,1,0,68,False,2,0,4,68,0,False,41,0,28,4,0,False,54,0,17,20,10,False,20,79,14,2,0,False,8,0,0,0,86,False,34,34,49,9,0,False,41,0,9,4,22,False,41,4,0,0,0,False,41,0,4,4,4,False,41,0,0,0,0,False,4,0,0,63,0,False,54,0,5,0,5,False,41,0,0,0,0,False,41,13,4,9,0,False,5,32,2,1,4,False,41,4,0,0,0,False,5,26,0,0,False
2013-01-02,27,0,0,0,0,False,1,0,4,1,82,False,1,1,4,74,0,False,16,0,24,0,0,False,46,0,0,46,23,False,7,30,15,0,0,False,4,0,0,0,77,False,11,33,55,0,0,False,24,0,24,0,0,False,27,27,0,0,0,False,27,0,0,0,0,False,27,0,0,0,0,False,2,0,0,75,0,False,27,0,27,0,0,False,27,0,0,0,0,False,27,41,0,0,0,False,3,43,5,0,5,False,27,0,0,0,0,False,2,20,2,0,False,47,0,0,7,7,False,2,0,2,0,72,False,3,0,6,69,0,False,47,0,35,7,0,False,55,0,10,6,31,False,23,78,25,2,0,False,9,0,0,0,79,False,39,39,89,3,0,False,47,0,9,3,16,False,47,3,0,0,3,False,47,0,3,3,5,False,47,0,0,0,0,False,4,0,0,56,0,False,55,0,8,4,0,False,47,3,0,0,0,False,47,14,12,10,0,False,6,31,3,0,3,False,47,7,0,0,0,False,6,35,1,0,False
2013-01-03,41,0,0,0,27,False,1,0,2,0,75,False,2,0,6,68,0,False,24,16,32,0,0,False,46,0,0,22,23,False,11,66,15,0,0,False,7,0,0,0,65,False,16,22,49,0,0,False,35,0,47,0,23,False,41,0,0,0,0,False,41,0,0,0,0,False,41,0,0,0,0,False,3,0,0,50,0,False,41,0,0,0,0,False,41,0,0,0,0,False,40,0,27,27,0,False,4,44,0,0,3,False,41,0,0,0,0,False,2,28,0,0,False,42,0,0,10,7,False,2,0,2,0,71,False,2,1,5,62,0,False,42,3,53,7,0,False,50,0,10,17,17,False,21,93,31,3,0,False,8,0,0,0,80,False,35,41,80,6,3,False,42,3,10,3,37,False,42,3,0,0,3,False,42,0,5,3,0,False,42,0,0,0,0,False,4,0,0,63,0,False,50,0,8,0,0,False,42,0,0,0,0,False,42,10,12,5,0,False,6,32,2,1,3,False,42,3,3,0,0,False,6,30,1,0,False
