Date.Local,nyc.ozone.Mean,nyc.ozone.Max.Value,nyc.ozone.Max.Hour,nyc.ozone.AQI,nyc.nitrogen.Mean,nyc.nitrogen.Max.Value,nyc.nitrogen.Max.Hour,nyc.nitrogen.AQI,nyc.pm.Max.Value,nyc.pm.Max.Hour,nyc.pm.Mean,nyc.pm.AQI,nyc.temp.Mean,nyc.temp.Max.Value,nyc.temp.Max.Hour,nyc.rh.Mean,nyc.rh.Max.Value,nyc.rh.Max.Hour
3/29/07,0.031882,0.042,9,39,18.416667,33,19,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/07,0.031529,0.038,11,35,24.083333,45,6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/31/07,0.023,0.038,7,35,21.875,41,23,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/07,0.024882,0.03,16,28,28.958333,50,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/2/07,0.016059,0.021,18,19,25.521739,41,14,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/3/07,0.024765,0.031,21,29,21.416667,34,7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/4/07,0.019765,0.026,10,24,19.421053,28,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/5/07,0.019706,0.022,19,20,16.833333,23,16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/6/07,0.019765,0.024,9,22,20.166667,28,5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/7/07,0.023,0.031,9,29,18.625,31,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/8/07,0.016588,0.019,8,18,15,21,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/9/07,0.024882,0.031,10,29,17.818182,34,5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/10/07,0.026235,0.039,10,36,19.875,35,23,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/11/07,0.033353,0.037,12,34,28.291667,47,6,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/12/07,0.019706,0.036,7,33,20.458333,33,23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/13/07,0.027294,0.033,21,31,19.75,36,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/07,0.034765,0.046,10,43,17.333333,53,20,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/15/07,0.033059,0.039,7,36,15.541667,28,16,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/16/07,0.019313,0.023,8,21,23.833333,34,6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/17/07,0.026471,0.028,8,26,19.714286,29,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/18/07,0.021706,0.024,9,22,20.583333,30,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/19/07,0.025294,0.035,10,32,20.25,44,23,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/20/07,0.018824,0.044,8,41,34.958333,62,19,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/21/07,0.023882,0.051,10,47,41,80,22,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/22/07,0.030529,0.053,8,49,36.25,70,0,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/23/07,0.044588,0.055,12,51,45.52381,65,4,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/24/07,0.038647,0.047,10,44,19.375,41,5,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/25/07,0.030294,0.04,9,37,17.041667,29,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/26/07,0.036294,0.039,11,36,16.083333,29,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/27/07,0.004824,0.018,7,17,29,44,16,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/28/07,0.023118,0.033,9,31,23.208333,38,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/29/07,0.017647,0.032,10,30,15.958333,41,23,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/30/07,0.042059,0.051,11,47,26.125,52,7,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/1/07,0.025353,0.033,8,31,25.5,51,21,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/2/07,0.02875,0.037,11,34,22.791667,42,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/3/07,0.026188,0.045,9,42,15.75,25,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/4/07,0.022,0.045,10,42,26.285714,52,20,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/5/07,0.038,0.049,8,45,27.291667,55,21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/6/07,0.027412,0.042,9,39,9.333333,19,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/7/07,0.025188,0.043,10,40,20.958333,35,20,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
