,ozone,discover,clothes,ozone.1,headache,smoke,cough,chest pain,ozone.2,shoes,lung cancer,traffic,copd,ozone.3,code red,haze,shortness of breath,inhaler,ozone.4,air pollution,coughing,respiratory infection,smog,ozone.5,power plants,lung disease,arrhythmia,code orange,ozone.6,sulfate,no2,heart murmur,chest tightness,ozone.7,cardiovascular disease,irregular heartbeat,o3,snoring,ozone.8,tailpipe,organic carbon,nitrogen dioxide,rapid heart rate,ozone.9,asthma,rapid breathing,inhaler use,bronchitis,ozone.10,difficulty breathing,soot,throat irritation,chronic obstructive pulmonary disease,ozone.11,wheezing,air pollutant,wildfires,respiratory illness,ozone.12,premature death,bronchiolitis,black carbon,smoggy,ozone.13,asthma attack,particulate matter,pm2.5,air pollution alert,ozone.14,childhood asthma,elemental carbon,fine inhalable particles,fine particles,ozone.15,fine particulates,industrial pollution,lung irritation,n02,ozone.16,nitrogen oxides,oxides of nitrogen,traffic emission,particle pollution,ozone.17,particulate matter pollution,pediatric asthma,pm5,rapid pulse,ozone.18,traffic exposure
2008-02-23,0.0,30.08969696969697,65.3548189073051,0.0,20.609126984126984,28.627760252365924,79.32924409164713,18.17848970251716,0.0,73.40703249866809,0.0,28.48780487804878,3.6336996336996337,0.0,33.22884012539185,32.19637223974763,0.0,0.0,0.0,0.0,39.280575539568346,0.0,0.0,29.375901875901878,0.0,0.0,0.0,0.0,28.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.412698412698415,0.0,0.0,0.0,0.0,0.0,30.005581395348834,0.0,,26.50127097102186,0.0,0.0,33.31764705882353,,0.0,27.392977392977397,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,29.375901875901878,,,,,29.375901875901878,,,,,28.35978835978836,,,,,27.392977392977397,
2008-02-22,5.601063829787234,35.27757575757576,46.821362799263355,11.698412698412698,0.0,45.80441640378548,46.66426123038066,24.594427244582043,1.7692307692307692,37.99893446989877,4.696969696969697,18.43328550932568,1.8168498168498168,20.55956678700361,22.595611285266457,43.78706624605678,0.0,0.0,22.107692307692307,0.0,54.010791366906474,0.0,0.0,30.355098605098608,0.0,0.0,0.0,0.0,29.277777777777782,19.460526315789476,0.0,0.0,0.0,20.615384615384613,0.0,0.0,0.0,0.0,27.371428571428574,0.0,0.0,0.0,0.0,21.649717514124294,40.007441860465114,0.0,,35.33502796136248,20.615384615384613,0.0,0.0,,0.0,28.306076639409977,0.0,,0.0,,22.107692307692307,,0.0,,,22.107692307692307,0.0,,0.0,,22.107692307692307,,,,,30.355098605098608,,,,,30.355098605098608,,,,,25.523809523809526,,,,,28.306076639409977,
2008-02-21,0.0,13.488484848484848,41.944137507673425,0.0,26.670634920634917,25.192429022082013,44.33104816886163,0.0,0.0,41.45338305807139,6.575757575757576,22.622668579626975,1.8168498168498168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.777877697841728,0.0,0.0,0.0,0.0,20.14,0.0,20.66558441558442,0.0,17.607142857142858,28.816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,45.19685039370079,0.0,0.0,0.0,0.0,0.0,0.0,38.75720930232558,0.0,,16.56329435688866,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,
2008-02-20,10.268617021276597,19.713939393939395,66.33026396562309,23.396825396825395,26.670634920634917,37.78864353312302,12.832671838354683,0.0,4.423076923076923,53.543953116675546,1.878787878787879,17.59540889526542,4.542124542124542,38.70036101083033,0.0,0.0,0.0,0.0,42.205594405594404,0.0,25.777877697841728,0.0,0.0,19.583934583934585,0.0,20.14,0.0,20.66558441558442,18.88888888888889,18.533834586466167,0.0,0.0,0.0,39.35664335664335,0.0,0.0,0.0,0.0,30.412698412698415,0.0,0.0,0.0,18.75,41.94632768361582,18.753488372093024,0.0,,34.2308083375699,39.35664335664335,0.0,0.0,,0.0,18.261984928651597,0.0,,0.0,,42.205594405594404,,0.0,,,42.205594405594404,0.0,,0.0,,42.205594405594404,,,,,19.583934583934585,,,,,19.583934583934585,,,,,28.35978835978836,,,,,18.261984928651597,
2008-02-19,4.667553191489362,22.826666666666668,44.87047268262738,11.698412698412698,19.396825396825395,37.78864353312302,38.49801551506405,0.0,1.7692307692307692,55.27117741076185,1.878787878787879,15.919655667144907,2.7252747252747254,19.350180505415164,0.0,0.0,0.0,19.93791574279379,21.102797202797202,0.0,25.777877697841728,0.0,0.0,19.583934583934585,18.72340425531915,0.0,0.0,0.0,18.88888888888889,27.80075187969925,0.0,19.79381443298969,0.0,19.678321678321677,0.0,0.0,0.0,46.2992125984252,19.261375661375663,0.0,0.0,0.0,0.0,20.296610169491526,18.753488372093024,0.0,,16.56329435688866,19.678321678321677,0.0,20.823529411764707,,0.0,18.261984928651597,0.0,,16.94214876033058,,21.102797202797202,,0.0,,,21.102797202797202,0.0,,0.0,,21.102797202797202,,,,,19.583934583934585,,,,,19.583934583934585,,,,,17.96119929453263,,,,,18.261984928651597,
2008-02-18,0.0,35.27757575757576,39.01780233271946,0.0,13.335317460317459,65.27129337539431,39.66462204582356,24.594427244582043,0.0,64.77091102823654,6.575757575757576,17.59540889526542,1.8168498168498168,0.0,22.595611285266457,54.08990536277602,0.0,21.184035476718403,0.0,18.857142857142858,40.50809352517986,21.0,20.164588528678305,0.0,0.0,22.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.251968503937007,0.0,0.0,0.0,0.0,0.0,0.0,50.009302325581395,0.0,,35.33502796136248,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,
2008-02-17,0.0,28.014545454545456,52.67403314917127,0.0,43.64285714285714,82.44794952681386,41.997835107342596,19.247812626194644,0.0,77.72509323388385,0.0,10.892395982783357,7.267399267399267,0.0,0.0,68.25630914826499,0.0,0.0,0.0,0.0,0.0,0.0,31.163454998866474,31.334295334295337,29.95744680851064,0.0,0.0,34.80519480519481,30.222222222222225,29.654135338345867,0.0,0.0,41.89090909090909,0.0,0.0,0.0,0.0,0.0,32.44021164021164,0.0,0.0,0.0,0.0,0.0,63.76186046511628,0.0,,56.31520081342145,0.0,0.0,0.0,,0.0,29.219175885842557,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,31.334295334295337,,,,,31.334295334295337,,,,,30.250440917107586,,,,,29.219175885842557,
2008-02-16,0.0,28.014545454545456,61.45303867403315,0.0,21.82142857142857,41.22397476340693,41.997835107342596,0.0,0.0,43.18060735215769,0.0,10.892395982783357,3.6336996336996337,0.0,34.557993730407524,0.0,0.0,0.0,0.0,0.0,41.735611510791365,0.0,0.0,31.334295334295337,0.0,33.92,0.0,0.0,30.222222222222225,0.0,48.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44021164021164,0.0,0.0,0.0,0.0,0.0,47.50883720930232,0.0,,41.96034570411794,0.0,0.0,0.0,,0.0,29.219175885842557,0.0,,0.0,,0.0,,22.44871794871795,,,0.0,0.0,,0.0,,0.0,,,,,31.334295334295337,,,,,31.334295334295337,,,,,30.250440917107586,,,,,29.219175885842557,
2008-02-15,11.202127659574469,38.39030303030303,53.64947820748926,26.58730158730159,14.547619047619047,21.757097791798103,13.999278369114199,0.0,4.423076923076923,50.08950452850293,0.0,23.46054519368723,2.7252747252747254,43.537906137184116,0.0,47.6506309148265,0.0,22.430155210643015,47.23006993006993,0.0,0.0,0.0,0.0,0.0,20.595744680851062,0.0,0.0,23.92857142857143,0.0,20.387218045112782,0.0,0.0,0.0,44.04195804195804,21.904761904761905,0.0,0.0,0.0,44.60529100529101,0.0,0.0,0.0,0.0,47.35875706214689,21.25395348837209,0.0,,47.48144382308083,44.04195804195804,0.0,0.0,,0.0,0.0,17.045045045045043,,0.0,,47.23006993006993,,0.0,,,47.23006993006993,0.0,,0.0,,47.23006993006993,,,,,0.0,,,,,0.0,,,,,41.59435626102293,,,,,0.0,
2008-02-14,5.601063829787234,26.976969696969697,47.79680785758134,12.761904761904763,27.882936507936506,65.27129337539431,33.83158939202598,12.831875084129763,1.7692307692307692,43.18060735215769,0.0,19.271162123385942,1.8168498168498168,20.55956678700361,22.595611285266457,21.89353312302839,19.0125,0.0,22.107692307692307,0.0,0.0,21.0,0.0,20.563131313131315,0.0,0.0,0.0,0.0,19.833333333333336,37.99436090225564,0.0,0.0,0.0,20.615384615384613,0.0,0.0,0.0,0.0,21.28888888888889,0.0,0.0,0.0,0.0,21.649717514124294,50.009302325581395,0.0,,17.66751398068124,20.615384615384613,0.0,0.0,,0.0,19.175084175084177,0.0,,0.0,,22.107692307692307,,14.525641025641026,,,22.107692307692307,0.0,,0.0,,22.107692307692307,,,,,20.563131313131315,,,,,20.563131313131315,,,,,19.851851851851855,,,,,19.175084175084177,
