date,ozone,discover,clothes,isPartial,ozone,headache,smoke,cough,chest pain,isPartial,ozone,shoes,lung cancer,traffic,copd,isPartial,ozone,code red,haze,shortness of breath,inhaler,isPartial,ozone,air pollution,coughing,respiratory infection,smog,isPartial,ozone,power plants,lung disease,arrhythmia,code orange,isPartial,ozone,sulfate,no2,heart murmur,chest tightness,isPartial,ozone,cardiovascular disease,irregular heartbeat,o3,snoring,isPartial,ozone,tailpipe,organic carbon,nitrogen dioxide,rapid heart rate,isPartial,ozone,asthma,rapid breathing,inhaler use,bronchitis,isPartial,ozone,difficulty breathing,soot,throat irritation,chronic obstructive pulmonary disease,isPartial,ozone,wheezing,air pollutant,wildfires,respiratory illness,isPartial,ozone,premature death,bronchiolitis,black carbon,smoggy,isPartial,ozone,asthma attack,particulate matter,pm2.5,air pollution alert,isPartial,ozone,childhood asthma,elemental carbon,fine inhalable particles,fine particles,isPartial,ozone,fine particulates,industrial pollution,lung irritation,n02,isPartial,ozone,nitrogen oxides,oxides of nitrogen,traffic emission,particle pollution,isPartial,ozone,particulate matter pollution,pediatric asthma,pm5,rapid pulse,isPartial,ozone,traffic exposure,isPartial
2007-01-21,18,36,49,FALSE,0,14,14,14,0,FALSE,8,41,4,4,4,FALSE,74,0,0,0,37,FALSE,74,37,0,0,0,FALSE,74,37,0,0,0,FALSE,74,37,0,0,0,FALSE,74,0,0,0,0,FALSE,74,0,0,0,0,FALSE,52,26,0,0,0,FALSE,74,0,0,0,0,FALSE,27,14,0,0,0,FALSE,74,0,0,0,0,FALSE,74,37,0,0,0,FALSE,74,0,0,0,0,FALSE,74,0,0,0,0,FALSE,74,0,0,0,0,FALSE,74,0,0,0,0,FALSE,74,0,FALSE
2007-01-22,6,17,29,FALSE,9,13,13,0,9,FALSE,0,40,3,25,0,FALSE,24,0,0,0,0,FALSE,24,24,24,0,0,FALSE,24,0,24,0,0,FALSE,24,0,0,0,0,FALSE,0,24,0,0,0,FALSE,24,0,0,0,0,FALSE,0,33,0,0,16,FALSE,24,0,0,0,0,FALSE,9,0,0,0,0,FALSE,24,0,0,24,0,FALSE,24,0,0,0,0,FALSE,24,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-23,17,11,46,FALSE,27,13,18,9,18,FALSE,0,46,3,14,3,FALSE,71,0,0,24,0,FALSE,71,0,0,0,0,FALSE,71,0,23,0,0,FALSE,71,0,0,0,0,FALSE,0,0,0,0,0,FALSE,71,0,0,0,24,FALSE,0,41,0,0,25,FALSE,71,0,0,0,0,FALSE,26,0,0,0,0,FALSE,71,0,0,0,0,FALSE,71,0,0,0,0,FALSE,71,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-24,6,9,50,FALSE,9,14,9,14,9,FALSE,0,45,8,21,0,FALSE,24,0,24,0,0,FALSE,24,0,0,0,0,FALSE,24,0,0,0,0,FALSE,24,0,0,24,0,FALSE,0,24,0,0,24,FALSE,24,0,0,0,0,FALSE,0,25,0,0,0,FALSE,24,0,0,0,0,FALSE,9,0,0,0,0,FALSE,24,0,0,0,0,FALSE,24,0,0,0,0,FALSE,24,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-25,0,15,53,FALSE,0,14,18,18,18,FALSE,0,47,3,39,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,24,FALSE,0,0,0,0,0,FALSE,0,48,24,0,0,FALSE,0,0,0,0,25,FALSE,0,0,0,0,0,FALSE,0,17,0,0,17,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-26,0,19,48,FALSE,0,10,10,10,10,FALSE,0,36,6,13,3,FALSE,0,0,39,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,26,26,FALSE,0,26,0,0,0,FALSE,0,0,0,0,52,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-27,19,14,42,FALSE,0,15,29,15,0,FALSE,9,57,0,11,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,39,FALSE,79,0,0,0,0,FALSE,55,0,27,0,0,FALSE,79,0,0,0,0,FALSE,29,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,0,0,0,FALSE,79,0,FALSE
2007-01-28,0,9,55,FALSE,0,14,14,15,0,FALSE,0,43,4,6,0,FALSE,0,0,37,0,0,FALSE,0,37,0,0,0,FALSE,0,37,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,53,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
2007-01-29,11,23,31,FALSE,9,18,18,9,0,FALSE,4,49,0,16,3,FALSE,47,0,24,24,0,FALSE,47,24,47,24,0,FALSE,35,0,24,0,24,FALSE,47,47,0,0,0,FALSE,35,0,24,0,0,FALSE,47,0,0,0,0,FALSE,25,16,0,0,0,FALSE,47,0,0,0,0,FALSE,17,0,0,0,0,FALSE,47,0,24,0,0,FALSE,47,0,0,0,0,FALSE,47,0,0,0,0,FALSE,35,0,0,0,0,FALSE,35,0,0,0,0,FALSE,35,0,0,0,0,FALSE,35,0,FALSE
2007-01-30,6,26,31,FALSE,9,9,27,18,0,FALSE,0,38,0,8,3,FALSE,23,24,23,0,0,FALSE,23,23,0,24,0,FALSE,23,0,0,0,0,FALSE,23,24,0,0,0,FALSE,0,0,0,0,24,FALSE,23,0,0,0,0,FALSE,0,33,0,0,0,FALSE,23,24,0,24,0,FALSE,9,0,0,0,0,FALSE,23,0,0,0,0,FALSE,23,0,0,0,0,FALSE,23,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,FALSE
