date,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial
2017-06-18,0,0,0,0,0,False,23,0,0,0,0,False,0,0,0,0,0,False,0,10,0,0,1,False,34,0,0,0,0,False,0,35,0,44,0,False,0,14,86,27,2,False,11,0,0,22,22,False,17,0,23,17,0,False,57,0,0,0,0,False,0,12,24,0,12,False,25,0,0,0,0,False,73,0,0,False
2017-06-19,0,0,0,0,0,False,0,38,0,0,0,False,0,28,0,0,0,False,0,9,0,0,0,False,0,28,0,0,28,False,0,29,29,14,0,False,0,11,72,20,1,False,0,0,9,27,13,False,0,0,33,38,28,False,0,0,47,0,0,False,0,0,50,20,0,False,0,41,21,0,21,False,0,0,0,False
2017-06-20,0,0,0,0,0,False,0,0,0,0,0,False,0,27,0,0,0,False,0,19,0,0,1,False,0,27,0,0,53,False,0,27,27,0,0,False,0,9,71,22,2,False,0,0,8,17,29,False,0,13,36,23,13,False,0,0,0,0,0,False,0,0,24,0,0,False,0,20,19,0,0,False,0,0,0,False
2017-06-21,0,0,0,0,0,False,0,18,0,0,0,False,0,0,40,0,27,False,0,12,0,0,1,False,0,0,0,27,53,False,0,21,0,41,0,False,0,11,73,23,2,False,0,0,9,8,13,False,0,0,20,36,14,False,0,0,0,0,44,False,0,9,14,28,19,False,0,20,59,0,0,False,0,0,0,False
2017-06-22,0,0,0,0,0,False,0,18,0,0,0,False,0,0,27,0,0,False,0,11,0,1,1,False,0,41,0,0,27,False,0,49,14,14,0,False,0,11,79,26,2,False,0,0,21,9,21,False,0,0,34,41,0,False,0,0,45,0,0,False,0,19,19,10,19,False,0,0,30,0,0,False,0,0,0,False
2017-06-23,0,0,0,0,0,False,0,0,0,0,0,False,0,0,28,0,0,False,0,12,0,0,1,False,0,41,0,28,28,False,0,14,14,28,0,False,0,14,80,27,3,False,0,0,0,0,22,False,0,0,37,42,28,False,0,0,0,0,0,False,0,10,20,10,0,False,0,20,20,0,0,False,0,0,0,False
2017-06-24,0,0,0,0,0,False,0,21,0,0,0,False,0,0,0,0,0,False,0,11,0,0,1,False,0,0,0,0,32,False,0,33,0,16,0,False,0,12,85,31,1,False,0,0,0,0,20,False,0,0,32,27,16,False,0,0,0,0,52,False,0,22,34,0,23,False,0,23,0,0,0,False,0,0,0,False
2017-06-25,0,0,0,0,0,False,0,23,0,0,0,False,0,33,33,0,0,False,0,9,0,0,1,False,0,0,0,0,34,False,0,52,17,26,0,False,0,15,81,31,1,False,0,0,21,21,21,False,0,0,68,34,17,False,0,56,0,0,56,False,0,12,36,12,12,False,0,25,37,0,0,False,0,0,0,False
2017-06-26,55,0,0,0,0,False,19,19,0,0,0,False,28,43,0,0,0,False,0,12,0,0,1,False,29,43,0,29,0,False,15,15,0,30,0,False,0,13,76,26,2,False,0,0,14,0,14,False,14,0,39,24,0,False,48,0,0,0,0,False,10,10,36,21,10,False,0,21,21,0,21,False,0,0,0,False
2017-06-27,0,0,0,0,0,False,0,20,0,0,0,False,0,0,29,0,29,False,0,13,0,0,1,False,0,30,0,0,59,False,0,31,31,15,0,False,0,11,77,29,1,False,0,9,19,0,28,False,0,0,30,30,15,False,0,0,0,0,50,False,0,0,42,11,0,False,0,22,22,0,0,False,0,0,0,False
2017-06-28,0,0,0,0,0,False,0,20,0,0,0,False,0,0,30,0,0,False,0,11,0,0,1,False,0,30,0,0,46,False,0,31,16,24,0,False,0,16,83,31,2,False,0,0,14,10,38,False,0,0,36,76,15,False,0,0,0,0,0,False,0,11,38,22,11,False,0,22,44,0,0,False,0,0,0,False
2017-06-29,0,57,0,0,0,False,0,20,0,0,0,False,0,60,0,0,0,False,0,15,0,0,2,False,0,30,0,0,30,False,0,77,0,15,0,False,0,13,81,30,2,False,0,0,9,9,19,False,0,15,50,55,0,False,0,0,0,0,0,False,0,0,32,0,11,False,0,0,33,0,0,False,0,0,0,False
2017-06-30,0,0,0,0,0,False,20,0,0,0,0,False,29,29,0,0,0,False,0,19,0,0,1,False,29,0,0,30,0,False,15,30,15,30,0,False,0,13,80,27,2,False,0,0,19,9,28,False,0,0,35,45,0,False,49,0,50,0,50,False,11,0,37,0,11,False,0,44,0,0,0,False,0,0,0,False
2015-07-05,0,25,0,0,0,False,7,14,0,0,0,False,1,2,1,0,1,False,0,49,0,0,4,False,0,18,0,14,40,False,5,60,7,51,0,False,0,14,86,21,2,False,0,0,3,8,26,False,0,0,59,61,11,False,35,0,35,0,70,False,2,3,36,10,5,False,7,22,56,0,0,False,0,0,0,False
2015-07-12,0,0,0,0,0,False,7,7,0,0,0,False,1,1,2,0,0,False,0,53,0,1,3,False,7,7,0,7,25,False,0,67,5,36,0,False,0,14,83,21,2,False,2,0,6,7,25,False,4,0,63,57,8,False,35,0,0,0,35,False,2,3,23,6,9,False,0,15,48,0,7,False,30,0,0,False
2015-07-19,0,25,0,0,0,False,0,14,0,0,0,False,0,2,2,0,0,False,0,54,0,0,3,False,0,32,0,7,25,False,0,86,7,36,0,False,0,14,82,22,1,False,0,0,10,5,25,False,0,0,67,72,4,False,0,0,53,0,0,False,0,3,36,4,9,False,0,26,100,0,7,False,0,0,0,False
2015-07-26,0,100,0,0,0,False,0,7,0,0,0,False,0,2,2,0,1,False,0,52,0,0,3,False,0,42,0,7,46,False,0,73,14,33,0,False,0,13,100,23,2,False,0,0,7,5,26,False,0,0,58,81,4,False,0,35,35,0,35,False,0,2,28,8,6,False,0,18,36,0,0,False,0,0,0,False
2015-08-02,0,25,0,0,0,False,7,10,0,0,0,False,1,4,3,0,1,False,0,69,0,0,3,False,0,14,0,7,17,False,5,79,14,38,0,False,0,13,83,22,2,False,0,0,5,6,25,False,0,0,60,68,0,False,35,0,0,0,0,False,2,4,33,4,8,False,7,7,73,0,7,False,0,0,0,False
2015-08-09,0,25,0,0,0,False,0,7,0,0,0,False,0,2,2,0,0,False,0,48,0,0,3,False,0,35,0,14,21,False,0,81,16,60,0,False,0,13,84,23,2,False,0,0,5,5,27,False,0,4,53,61,8,False,0,0,0,0,0,False,0,2,34,4,4,False,0,25,43,0,0,False,0,0,0,False
2015-08-16,24,0,0,0,0,False,7,19,0,0,0,False,1,5,1,0,1,False,0,43,0,0,4,False,7,14,0,21,20,False,5,82,23,34,0,False,0,11,77,20,2,False,2,0,7,5,29,False,4,0,54,48,12,False,34,0,34,0,34,False,2,4,38,5,6,False,7,25,46,0,0,False,29,0,0,False
2015-08-23,24,0,0,0,0,False,7,29,0,0,0,False,1,6,3,0,2,False,0,42,0,0,4,False,7,24,0,17,44,False,5,64,14,34,0,False,0,13,75,22,2,False,2,2,8,6,29,False,4,4,30,54,4,False,34,34,51,0,0,False,2,6,41,6,5,False,7,0,85,0,0,False,29,0,0,False
2015-08-30,0,0,0,0,0,False,7,84,0,0,0,False,1,2,3,0,2,False,0,59,0,0,4,False,7,17,0,14,48,False,0,73,9,44,0,False,0,12,78,22,2,False,2,0,13,4,38,False,4,0,40,72,10,False,34,0,50,0,33,False,2,6,41,6,7,False,0,11,71,0,7,False,29,0,0,False
2015-09-06,0,0,0,0,0,False,0,20,0,0,0,False,0,1,2,0,1,False,0,48,0,0,4,False,0,14,0,7,31,False,0,84,19,44,0,False,0,12,78,24,1,False,0,0,11,5,41,False,0,8,60,74,4,False,0,35,70,0,52,False,0,4,48,4,12,False,0,7,61,0,7,False,0,0,0,False
